Cases,cod_munici,year,epiweek,cons_epiweek,municipality,total_population,Temperature,Rainfall,EVI
34,5895,2008,15,67,ZARAGOZA,28098,26.97249794,72.28755876,2855.387871
35,5895,2008,16,68,ZARAGOZA,28098,27.33075537,93.66074371,1166.246149
43,5895,2008,17,69,ZARAGOZA,28098,27.15041914,47.64607462,NA
65,5895,2008,18,70,ZARAGOZA,28098,26.22564223,90.63778966,2940.04926
114,5895,2008,19,71,ZARAGOZA,28098,26.53827849,72.45347428,3269.642059
84,5895,2008,20,72,ZARAGOZA,28098,27.41261557,66.75862959,3956.693457
108,5895,2008,21,73,ZARAGOZA,28098,25.96349707,132.8975205,3164.272466
92,5895,2008,22,74,ZARAGOZA,28098,25.06733243,68.96387575,2199.879764
89,5895,2008,23,75,ZARAGOZA,28098,25.85617624,97.25809069,3501.341293
84,5895,2008,24,76,ZARAGOZA,28098,27.48931973,70.69474364,22.9273944
64,5895,2008,25,77,ZARAGOZA,28098,27.49315401,146.2793192,3280.60707
68,5895,2008,26,78,ZARAGOZA,28098,26.71735708,49.91899835,NA
91,5895,2008,27,79,ZARAGOZA,28098,26.83691537,78.72043833,2437.010842
91,5895,2008,28,80,ZARAGOZA,28098,26.92897266,66.47275097,2022.629923
101,5895,2008,29,81,ZARAGOZA,28098,26.3286591,36.57796804,277.7915022
83,5895,2008,30,82,ZARAGOZA,28098,27.92362395,13.77999727,3162.905871
73,5895,2008,31,83,ZARAGOZA,28098,27.07750627,66.19024007,167.4634027
81,5895,2008,32,84,ZARAGOZA,28098,27.85589628,22.46199208,2254.853454
69,5895,2008,33,85,ZARAGOZA,28098,25.88821867,135.35626,NA
78,5895,2008,34,86,ZARAGOZA,28098,25.83919586,83.59266309,1189.165342
63,5895,2008,35,87,ZARAGOZA,28098,25.9263121,53.74902027,3011.053596
54,5895,2008,36,88,ZARAGOZA,28098,26.32737653,134.9681408,1836.53332
79,5895,2008,37,89,ZARAGOZA,28098,27.75950576,39.51342187,2621.065025
49,5895,2008,38,90,ZARAGOZA,28098,26.58777204,99.3204863,797.8652619
68,5895,2008,39,91,ZARAGOZA,28098,26.67879291,165.9026039,3364.835918
75,5895,2008,40,92,ZARAGOZA,28098,25.88615883,84.03904129,1495.646744
63,5895,2008,41,93,ZARAGOZA,28098,24.24725421,48.80610424,2960.712586
63,5895,2008,42,94,ZARAGOZA,28098,24.25374199,44.99798705,NA
64,5895,2008,43,95,ZARAGOZA,28098,25.81781792,51.34521122,4948.592437
57,5895,2008,44,96,ZARAGOZA,28098,26.47548117,102.3790815,3948.173987
50,5895,2008,45,97,ZARAGOZA,28098,24.88237776,36.52531117,2736.404085
42,5895,2008,46,98,ZARAGOZA,28098,25.86308879,26.21079389,2894.413644
53,5895,2008,47,99,ZARAGOZA,28098,24.08910872,78.41429455,2337.816162
51,5895,2008,48,100,ZARAGOZA,28098,24.06741352,101.3239679,4054.463801
41,5895,2008,49,101,ZARAGOZA,28098,24.19354783,35.5955511,NA
43,5895,2008,50,102,ZARAGOZA,28098,24.7595621,21.80421276,3415.374358
33,5895,2008,51,103,ZARAGOZA,28098,24.50080946,7.658630266,3299.284036
28,5895,2008,52,104,ZARAGOZA,28098,24.36550131,11.58954253,1766.66942
18,5895,2008,53,105,ZARAGOZA,28098,25.92117859,19.53359976,3120.390859
48,5895,2009,1,106,ZARAGOZA,28477,26.39175229,31.05915921,-500.8144686
46,5895,2009,2,107,ZARAGOZA,28477,25.65759445,23.35744695,3206.168632
75,5895,2009,3,108,ZARAGOZA,28477,24.33902061,45.04810222,1083.745699
78,5895,2009,4,109,ZARAGOZA,28477,26.00946989,21.17341791,1867.432369
93,5895,2009,5,110,ZARAGOZA,28477,26.30335231,17.11994962,NA
85,5895,2009,6,111,ZARAGOZA,28477,26.04056819,11.43949124,5190.1374
91,5895,2009,7,112,ZARAGOZA,28477,25.91890493,14.25831834,735.0000839
47,5895,2009,8,113,ZARAGOZA,28477,25.61858894,17.46907788,4803.917574
84,5895,2009,9,114,ZARAGOZA,28477,25.65161091,68.76728356,3494.270322
66,5895,2009,10,115,ZARAGOZA,28477,26.81569513,11.49500244,3875.639104
66,5895,2009,11,116,ZARAGOZA,28477,25.96614842,57.38928483,3743.669456
50,5895,2009,12,117,ZARAGOZA,28477,25.30782448,52.63282013,NA
60,5895,2009,13,118,ZARAGOZA,28477,24.93382524,40.75550414,4825.281515
33,5895,2009,14,119,ZARAGOZA,28477,25.16921848,88.20441344,34.0135483
72,5895,2009,15,120,ZARAGOZA,28477,25.72801474,38.7589263,4873.857162
36,5895,2009,16,121,ZARAGOZA,28477,26.46589623,24.04024924,761.6935209
37,5895,2009,17,122,ZARAGOZA,28477,26.10440808,77.72757032,2144.036687
102,5895,2009,18,123,ZARAGOZA,28477,24.75565357,111.8987453,3681.307239
115,5895,2009,19,124,ZARAGOZA,28477,25.10704138,159.9796578,4054.164466
71,5895,2009,20,125,ZARAGOZA,28477,24.96651487,67.63510783,3984.025922
49,5895,2009,21,126,ZARAGOZA,28477,24.45434226,184.4538329,NA
88,5895,2009,22,127,ZARAGOZA,28477,25.55505725,35.60147932,4111.500198
47,5895,2009,23,128,ZARAGOZA,28477,24.52042761,57.70285946,3445.174044
